,donor,sample,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,gabe_label,mni_nlin_x,mni_nlin_y,mni_nlin_z
74,14380,524,4256,11,139379770,CX,CA3,"CA3 field, left",113328411,116,104,129,-25.0,-38.0,5.0,H0351.1012,-23.290029692706998,-37.3249797859909,1.41410355094954
75,14380,526,4254,11,139379737,CX,CA1,"CA1 field, left",113380929,119,108,129,-28.0,-38.0,1.0,H0351.1012,-26.559081498729,-38.0776916474736,-3.211566534870569
76,14380,527,4251,11,139379717,CX,S,"subiculum, left",113380930,110,108,129,-19.0,-38.0,1.0,H0351.1012,-18.211251804487,-37.3089741856234,-2.71826827874921
77,15496,266,4258,8,147628345,CX,DG,"dentate gyrus, left",127001454,118,131,107,-27.0,-16.0,-22.0,H0351.1015,-24.728000048182807,-14.049826553368499,-20.3790968518968
78,15496,269,4251,8,147628196,CX,S,"subiculum, left",127001456,114,138,106,-23.0,-15.0,-29.0,H0351.1015,-20.7889058644297,-13.069618914886696,-26.845176317402892
79,15496,280,4257,8,147628361,CX,CA4,"CA4 field, left",127001567,117,131,107,-26.0,-16.0,-22.0,H0351.1015,-23.6926967805083,-14.0092693736476,-20.3127210389235
80,15496,297,4251,10,148955218,CX,S,"subiculum, left",138072210,123,106,131,-32.0,-40.0,3.0,H0351.1015,-29.6237843976543,-39.4512110124569,3.2799952600847697
81,15496,304,4256,9,148955136,CX,CA3,"CA3 field, left",127589931,127,118,119,-36.0,-28.0,-9.0,H0351.1015,-32.949964205949996,-27.525870156717602,-8.40429269017389
82,15496,305,4255,9,148955119,CX,CA2,"CA2 field, left",127589930,131,117,119,-40.0,-28.0,-8.0,H0351.1015,-36.8191285323256,-28.589399344058197,-8.188310969867999
83,15496,306,4251,9,148955278,CX,S,"subiculum, left",138199839,118,124,119,-27.0,-28.0,-15.0,H0351.1015,-23.47946993141249,-25.9946626111768,-13.353755067126801
84,15496,349,4258,9,148955168,CX,DG,"dentate gyrus, left",127537206,125,120,119,-34.0,-28.0,-11.0,H0351.1015,-30.5200461648527,-27.16393304727409,-10.172624010048901
85,15496,350,4257,9,148955152,CX,CA4,"CA4 field, left",127589932,125,119,119,-34.0,-28.0,-10.0,H0351.1015,-30.70731528024169,-27.2032261461992,-9.275499241761741
86,15496,351,4254,9,148955294,CX,CA1,"CA1 field, left",138199757,132,123,119,-41.0,-28.0,-14.0,H0351.1015,-36.392771738655796,-28.932689468537692,-13.761546370484801
87,15496,364,4256,8,147628198,CX,CA3,"CA3 field, left",127094416,110,129,106,-19.0,-15.0,-20.0,H0351.1015,-16.9810920257021,-12.9355522191589,-18.530976242167
88,15496,366,4255,8,147628377,CX,CA2,"CA2 field, left",127094417,120,126,107,-29.0,-16.0,-17.0,H0351.1015,-27.099831929762,-14.395536412141302,-15.8758759812101
89,15496,469,4254,8,147628212,CX,CA1,"CA1 field, left",127004958,124,132,107,-33.0,-16.0,-23.0,H0351.1015,-30.9538981905071,-14.4138481334287,-21.9548313582715
90,15697,20,4258,8,160091979,CX,DG,"dentate gyrus, left",145964255,120,129,107,-29.0,-16.0,-20.0,H0351.1016,-30.748732701035088,-18.6173564005506,-18.3850209237045
91,15697,21,4257,8,160091963,CX,CA4,"CA4 field, left",145964256,120,128,107,-29.0,-16.0,-19.0,H0351.1016,-30.478007506171604,-18.66363999179091,-17.2934536957552
92,15697,22,4255,8,160091931,CX,CA2,"CA2 field, left",145964254,124,125,107,-33.0,-16.0,-16.0,H0351.1016,-34.2363599629699,-18.511614113678103,-14.2811097053878
93,15697,45,4258,9,160091911,CX,DG,"dentate gyrus, left",148020449,121,122,117,-30.0,-26.0,-13.0,H0351.1016,-30.0706946562333,-27.997488580456,-11.444798249568
94,15697,46,4251,7,159438961,CX,S,"subiculum, left",147944867,108,139,94,-17.0,-3.0,-30.0,H0351.1016,-23.442765824144296,-5.22499420179991,-29.2408573843736
95,15697,75,4254,8,160091915,CX,CA1,"CA1 field, left",147066198,123,131,107,-32.0,-16.0,-22.0,H0351.1016,-34.1926258587594,-18.291074091633,-20.1365910688377
96,15697,92,4255,9,160091863,CX,CA2,"CA2 field, left",148020447,129,121,117,-38.0,-26.0,-12.0,H0351.1016,-37.9152396502992,-28.520355382041892,-9.477869630364339
97,15697,93,4254,9,160091847,CX,CA1,"CA1 field, left",148020448,126,126,117,-35.0,-26.0,-17.0,H0351.1016,-35.37420406163329,-27.74167470956469,-14.6748375133253
98,15697,95,4258,10,160091851,CX,DG,"dentate gyrus, left",157086720,106,106,133,-15.0,-42.0,3.0,H0351.1016,-14.749522269239199,-43.1382786339892,4.06674572134001
99,15697,96,4256,10,160092009,CX,CA3,"CA3 field, left",157086569,109,107,133,-18.0,-42.0,2.0,H0351.1016,-17.3697141608219,-43.5456324803154,3.17888470020471
100,15697,441,4256,8,160091947,CX,CA3,"CA3 field, left",147066199,121,126,107,-30.0,-16.0,-17.0,H0351.1016,-31.013526263210203,-18.5468211182995,-15.075941427218599
101,15697,442,4251,8,160091899,CX,S,"subiculum, left",147066197,113,132,107,-22.0,-16.0,-23.0,H0351.1016,-23.93570671926989,-18.2074311904313,-21.6946127061866
102,15697,483,4257,9,160091895,CX,CA4,"CA4 field, left",148020445,121,121,117,-30.0,-26.0,-12.0,H0351.1016,-29.9857579381876,-28.14608915540289,-10.5558126015644
103,15697,484,4256,9,160091879,CX,CA3,"CA3 field, left",148020446,124,120,117,-33.0,-26.0,-11.0,H0351.1016,-32.915126200016,-28.41052748795189,-9.09984546393627
104,15697,485,4251,9,160091831,CX,S,"subiculum, left",148020506,112,121,117,-21.0,-26.0,-12.0,H0351.1016,-21.341704164159488,-27.37738547342809,-11.1557056601738
105,15697,487,4257,10,160091835,CX,CA4,"CA4 field, left",157086721,106,107,133,-15.0,-42.0,2.0,H0351.1016,-14.7124155247893,-43.168980438533794,2.99460685526675
106,15697,488,4255,10,160091993,CX,CA2,"CA2 field, left",157086950,111,107,133,-20.0,-42.0,2.0,H0351.1016,-19.1012905713042,-43.848362123004996,3.27934754593486
107,15697,489,4254,10,160091977,CX,CA1,"CA1 field, left",157086949,103,106,133,-12.0,-42.0,3.0,H0351.1016,-12.0310581297789,-42.97664829569849,3.88658068543972
108,15697,490,4251,10,160091961,CX,S,"subiculum, left",157086681,102,110,133,-11.0,-42.0,-1.0,H0351.1016,-10.62651059786,-43.0595169022753,-1.18863809074533
109,15697,491,4254,7,159438977,CX,CA1,"CA1 field, left",156265315,115,135,94,-24.0,-3.0,-26.0,H0351.1016,-28.5900310760703,-6.207613802158622,-25.088203084239396
110,9861,5,4266,17,2785,CX,CA4,"CA4 field, right",41142,63,104,106,31.1,-31.3,-7.3,H0351.2001,32.200550237217996,-29.4025594588723,-9.47711399570634
111,9861,6,4267,17,2793,CX,DG,"dentate gyrus, right",41141,63,104,107,31.1,-32.3,-7.1,H0351.2001,32.1646440778349,-30.414456535364998,-9.160682064014367
112,9861,10,4251,17,2858,CX,S,"subiculum, left",41212,114,108,100,-22.6,-27.4,-13.8,H0351.2001,-24.1214994322969,-26.0120289432056,-15.886416586427801
113,9861,11,4254,17,2850,CX,CA1,"CA1 field, left",41211,124,107,100,-33.2,-27.4,-12.9,H0351.2001,-34.4911030184779,-25.790769982093398,-15.0701142766046
114,9861,307,4258,17,2491,CX,DG,"dentate gyrus, left",41207,116,105,100,-24.7,-26.6,-10.6,H0351.2001,-25.886155444279197,-24.9105500134165,-12.914626805339804
115,9861,311,4260,16,2667,CX,S,"subiculum, right",39174,68,109,98,26.0,-24.5,-14.3,H0351.2001,26.8828331987599,-23.023872348313,-17.4549851505926
116,9861,312,4263,16,2611,CX,CA1,"CA1 field, right",64946,60,108,97,34.5,-22.9,-13.3,H0351.2001,35.8342459839949,-21.5063319011585,-15.823521057762198
117,9861,313,4264,16,2604,CX,CA2,"CA2 field, right",55429,65,105,95,29.3,-20.1,-10.6,H0351.2001,30.533451110761398,-18.132658977420398,-13.660208741022801
118,9861,314,4265,16,2612,CX,CA3,"CA3 field, right",55610,64,108,97,30.3,-23.0,-13.4,H0351.2001,31.2626843476782,-21.5238323137167,-16.4176293400785
119,9861,315,4266,16,2619,CX,CA4,"CA4 field, right",39211,62,107,96,32.4,-21.6,-12.5,H0351.2001,33.6842287610917,-20.015499296481096,-15.200674425828499
120,9861,316,4267,16,2627,CX,DG,"dentate gyrus, right",39172,61,107,96,33.5,-21.6,-12.4,H0351.2001,34.800681365827195,-20.0414383589832,-15.0665712867721
121,9861,384,4264,17,2321,CX,CA2,"CA2 field, right",41144,61,102,105,33.3,-29.6,-5.3,H0351.2001,34.611059236593796,-27.6386359743704,-7.444047978427861
122,9861,391,4254,15,2474,CX,CA1,"CA1 field, left",41707,120,109,88,-28.6,-15.3,-17.3,H0351.2001,-30.0322354976125,-13.1529256281635,-20.287078693248
123,9861,510,4251,18,2443,CX,S,"subiculum, left",65158,116,110,102,-24.8,-30.1,-15.6,H0351.2001,-26.2391229281198,-28.793313707403,-17.707602635930396
